"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Reactome Pathways"	"WikiPathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"-1091874622917374762"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN3500_c0_g1_i10.p1"	"ONUN2_DN3500_c0_g1_i10.p1"	"0.000"	"739.767"	"42"	"152"	"828"	"149"	"4027"	"467.4"	"8.98"	"11565"	"152"	""	""	""	""	""	"ONUN2_DN3500_c0_g1_i10.p1"	""	""	""	""	"0"	"0.445"	"4.412"	"3.567"	"9.918"	"8.019"	"0.809"	"0.321513959786729"	"0.31366432497671"	"0.999999999999392"	"0.0301271561728065"	"0.100227037583607"	"0.999999999645348"	"95447085.4192993"	"42460775.9527279"	"421113568.579153"	"340489221.918247"	"12.82"	"54.11"	"51.03"	"59.02"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"4351010349038085931"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN1475_c0_g1_i2.p1"	"ONUN2_DN1475_c0_g1_i2.p1"	"0.000"	"694.575"	"57"	"137"	"1093"	"135"	"2635"	"306.3"	"5.35"	"13757"	"137"	""	""	""	""	""	"ONUN2_DN1475_c0_g1_i2.p1"	""	""	""	""	"0"	"0.497"	"0.164"	"0.087"	"0.330"	"0.175"	"0.532"	"0.971752409100001"	"0.39289851855664"	"0.999999999999392"	"0.740618092790106"	"0.9435407021089"	"0.999999999645348"	"937144551.094651"	"465764533.279084"	"153524794.12528"	"81610054.4351314"	"77.32"	"32.49"	"65.21"	"146.04"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-1090598172396089902"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN3321_c0_g1_i2.p1"	"ONUN2_DN3321_c0_g1_i2.p1"	"0.000"	"637.633"	"39"	"136"	"1026"	"136"	"4530"	"504.1"	"5.95"	"10777"	"136"	""	""	""	""	""	"ONUN2_DN3321_c0_g1_i2.p1"	""	""	""	""	"0"	"29.127"	"100.000"	"9.893"	"4.482"	"0.340"	"0.076"	"0.573448490260235"	"0.309078525034145"	"0.999999999999392"	"0.99999999999899"	"0.999999999988872"	"0.84329103577122"	"1950426.67536001"	"56810230.7031505"	"254626808.644635"	"19296413.0714538"	"163.79"	"26.75"	"49.14"	"127.21"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2951493534233828311"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN10664_c0_g1_i1.p1"	"ONUN2_DN10664_c0_g1_i1.p1"	"0.000"	"610.634"	"61"	"101"	"1139"	"96"	"2501"	"273.0"	"5.68"	"15291"	"101"	""	""	""	""	""	"ONUN2_DN10664_c0_g1_i1.p1"	""	""	""	""	"0"	"4.399"	"1.459"	"3.146"	"0.332"	"0.715"	"2.155"	"0.999999999853134"	"0.999999999117813"	"0.999999999999392"	"0.951469907692158"	"0.999999999988872"	"0.996330205558765"	"41708940.014926"	"183496092.666667"	"60869635.2718508"	"131203153.087091"	"78.93"	"74.68"	"80.49"	"90.38"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"1930760902117135225"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN4332_c0_g1_i8.p1"	"ONUN2_DN4332_c0_g1_i8.p1"	"0.000"	"586.640"	"51"	"100"	"1019"	"100"	"2036"	"236.5"	"9.22"	"13161"	"100"	""	""	""	""	""	"ONUN2_DN4332_c0_g1_i8.p1"	""	""	""	""	"0"	"8.639"	"100.000"	"0.278"	"53.479"	"0.032"	"0.010"	""	""	""	"0.103060861088423"	""	""	"3357868.72197876"	"29009463.7688342"	"1551394472.14882"	"934370.71065022"	""	"104.55"	"48.56"	""	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	""
"525712044201246382"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN153_c0_g2_i1.p1"	"ONUN2_DN153_c0_g2_i1.p1"	"0.000"	"570.431"	"36"	"143"	"776"	"143"	"4696"	"536.8"	"6.38"	"7974"	"143"	""	""	""	""	""	"ONUN2_DN153_c0_g2_i1.p1"	""	""	""	""	"0"	"13.727"	"3.816"	"3.929"	"0.278"	"0.286"	"1.030"	"0.22484756317775"	"0.999999999117813"	"0.999999999999392"	"0.501939595808612"	"0.675783383506232"	"0.999999999645348"	"5847431.98746757"	"80270140"	"22311842.6017574"	"22974606.2026591"	"106.41"	"15.08"	"55.46"	"72.33"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-3168123115061010620"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN14581_c0_g2_i3.p1"	"ONUN2_DN14581_c0_g2_i3.p1"	"0.000"	"570.113"	"49"	"92"	"521"	"61"	"1741"	"199.9"	"5.60"	"7934"	"92"	""	""	""	""	""	"ONUN2_DN14581_c0_g2_i3.p1"	""	""	""	""	"0"	"0.030"	"2.007"	"0.072"	"67.233"	"2.414"	"0.036"	""	""	""	"0.939177720005343"	"0.999999999988872"	"0.999999999645348"	"164915696.944124"	"4922450.1753148"	"330949079.23314"	"11882020.7324551"	""	"137.05"	"153.73"	"132.72"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"1"	""
"-5324334556010515911"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN670_c0_g1_i3.p1"	"ONUN2_DN670_c0_g1_i3.p1"	"0.000"	"559.098"	"46"	"100"	"913"	"99"	"2332"	"272.7"	"5.33"	"11041"	"100"	""	""	""	""	""	"ONUN2_DN670_c0_g1_i3.p1"	""	""	""	""	"0"	"0.603"	"0.162"	"0.576"	"0.269"	"0.955"	"3.547"	"0.999999999853134"	"0.19943494658665"	"0.999999999999392"	"0.245677300146116"	"0.999999999988872"	"0.374220979369457"	"204223761.028052"	"123201405.609425"	"33184133.3868577"	"117703242.59299"	"39.70"	"87.23"	"55.48"	"83.57"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"4189277435262892583"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN499_c0_g1_i3.p1"	"ONUN2_DN499_c0_g1_i3.p1"	"0.000"	"551.664"	"57"	"90"	"1188"	"83"	"2352"	"249.1"	"5.47"	"14750"	"90"	""	""	""	""	""	"ONUN2_DN499_c0_g1_i3.p1"	""	""	""	""	"0"	"1.643"	"1.914"	"2.802"	"1.165"	"1.706"	"1.464"	"0.999999999853134"	"0.999999999117813"	"0.999999999999392"	"0.99999999999899"	"0.999999999988872"	"0.999999999645348"	"82276275.9771987"	"135195304.334348"	"157487387.745711"	"230575649.032522"	"69.45"	"30.22"	"86.03"	"41.97"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"4616198787834337139"	"False"	"High"	"IsMasterProtein"	"ONUN2_DN284_c0_g1_i16.p1"	"ONUN2_DN284_c0_g1_i16.p1"	"0.000"	"502.392"	"45"	"81"	"840"	"57"	"1956"	"224.6"	"5.71"	"11593"	"81"	""	""	""	""	""	"ONUN2_DN284_c0_g1_i16.p1"	""	""	""	""	"0"	"1.112"	"0.586"	"1.036"	"0.527"	"0.931"	"1.768"	"0.999999999853134"	"0.650178344399788"	"0.999999999999392"	"0.448670065929427"	"0.999999999988872"	"0.667924979320997"	"245696572.378387"	"273325867.765271"	"143964707.539101"	"254583796.237919"	"48.62"	"57.61"	"61.48"	"73.69"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
