"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"WikiPathways"	"Reactome Pathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Found in Sample: [S2] F2: Sample, 2, body"	"Found in Sample: [S6] F6: Sample, 6, body"	"Found in Sample: [S10] F10: Sample, 10, body"	"Found in Sample: [S1] F1: Sample, 1, head"	"Found in Sample: [S5] F5: Sample, 5, head"	"Found in Sample: [S9] F9: Sample, 9, head"	"Found in Sample: [S4] F4: Sample, 4, mucus"	"Found in Sample: [S8] F8: Sample, 8, mucus"	"Found in Sample: [S12] F12: Sample, 12, mucus"	"Found in Sample: [S3] F3: Sample, 3, pharynx"	"Found in Sample: [S7] F7: Sample, 7, pharynx"	"Found in Sample: [S11] F11: Sample, 11, pharynx"	"# Protein Groups"	"Modifications"
"4774466824716424566"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5162_c0_g1_i7.p1"	"SMED3_DN5162_c0_g1_i7.p1"	"0.000"	"523.674"	"36"	"123"	"813"	"122"	"3570"	"411.7"	"9.35"	"7586"	"123"	""	""	""	""	""	"SMED3_DN5162_c0_g1_i7.p1"	""	""	""	""	"0"	"1.467"	"0.700"	"1.199"	"0.477"	"0.818"	"1.713"	"0.999999960808529"	"0.389979616536255"	"0.999999999971976"	"0.209653875936219"	"0.999999999979186"	"0.229486047101405"	"1082082552.01114"	"1587196439.93216"	"757406359.233209"	"1297630917.57857"	"39.67"	"22.39"	"26.36"	"23.20"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-995370773775101049"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2413_c1_g2_i1.p1"	"SMED3_DN2413_c1_g2_i1.p1"	"0.000"	"437.510"	"30"	"105"	"395"	"105"	"4537"	"503.9"	"6.01"	"3206"	"105"	""	""	""	""	""	"SMED3_DN2413_c1_g2_i1.p1"	""	""	""	""	"0"	"0.356"	"100.000"	"0.898"	"100.000"	"2.519"	"0.010"	""	""	""	"0.0099200379824857"	""	""	"1857105.58333333"	"661804.367792923"	"319832725.53497"	"1666786.76759423"	""	"31.82"	"12.97"	""	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"1"	""
"2708801000686289401"	"False"	"High"	"IsMasterProtein"	"SMED3_DN26331_c0_g2_i3.p1"	"SMED3_DN26331_c0_g2_i3.p1"	"0.000"	"432.074"	"62"	"58"	"1066"	"57"	"872"	"100.4"	"5.60"	"15804"	"58"	""	""	""	""	""	"SMED3_DN26331_c0_g2_i3.p1"	""	""	""	""	"0"	"9.516"	"24.827"	"0.854"	"2.609"	"0.090"	"0.034"	"0.017811688174556"	"0.00109743945100957"	"0.999999999971976"	"0.188615114584683"	"0.0238996402089255"	"0.00133227152955753"	"35125607.7878618"	"334249287.773618"	"872062995.510003"	"29999532.9445206"	"17.46"	"24.10"	"38.53"	"38.12"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-3052320070666465033"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1149_c0_g1_i7.p1"	"SMED3_DN1149_c0_g1_i7.p1"	"0.000"	"389.765"	"46"	"90"	"627"	"90"	"2437"	"284.0"	"5.22"	"5571"	"90"	""	""	""	""	""	"SMED3_DN1149_c0_g1_i7.p1"	""	""	""	""	"0"	"0.560"	"1.038"	"0.739"	"1.852"	"1.319"	"0.712"	"0.999999960808529"	"0.999999997659797"	"0.999999999971976"	"0.580684976467426"	"0.999999999979186"	"0.985522729090629"	"64032934.3081988"	"35866148.0379395"	"66434313.4847131"	"47309308.5565733"	"32.30"	"38.91"	"31.35"	"48.51"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"2817954439849884669"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5713_c0_g1_i1.p1"	"SMED3_DN5713_c0_g1_i1.p1"	"0.000"	"364.121"	"64"	"53"	"885"	"52"	"867"	"100.8"	"5.49"	"10916"	"53"	""	""	""	""	""	"SMED3_DN5713_c0_g1_i1.p1"	""	""	""	""	"0"	"14.238"	"27.965"	"1.047"	"1.964"	"0.074"	"0.037"	"0.0156286454095479"	"0.00103488500807547"	"0.999999999971976"	"0.268424339002725"	"0.0200047077290043"	"0.00133227152955753"	"31567917.0986735"	"449451165.979334"	"882798741.841877"	"33065261.5021503"	"14.91"	"12.08"	"25.96"	"40.55"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"8060087685099868894"	"False"	"High"	"IsMasterProtein"	"SMED3_DN491_c0_g1_i6.p1"	"SMED3_DN491_c0_g1_i6.p1"	"0.000"	"350.575"	"46"	"56"	"707"	"47"	"1469"	"168.4"	"6.01"	"9974"	"56"	""	""	""	""	""	"SMED3_DN491_c0_g1_i6.p1"	""	""	""	""	"0"	"8.810"	"6.257"	"0.745"	"0.710"	"0.085"	"0.119"	"0.578857965006972"	"0.216190846101017"	"0.999999999971976"	"0.999999960583619"	"0.924355069733709"	"0.257517530208297"	"19261908.9389848"	"169694781.931446"	"120517116.281007"	"14352946.5848746"	"80.15"	"63.25"	"74.48"	"93.11"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"6370472418396007170"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5054_c0_g1_i2.p1"	"SMED3_DN5054_c0_g1_i2.p1"	"0.000"	"330.185"	"39"	"66"	"422"	"63"	"1973"	"227.6"	"5.55"	"3725"	"66"	""	""	""	""	""	"SMED3_DN5054_c0_g1_i2.p1"	""	""	""	""	"0"	"1.673"	"2.115"	"0.916"	"1.264"	"0.548"	"0.433"	"0.845649954409872"	"0.445355116231434"	"0.999999999971976"	"0.999999960583619"	"0.822294722983028"	"0.19973859034146"	"52511336.2901552"	"87833147.3650592"	"111050172.379945"	"48114416.2967673"	"41.57"	"22.17"	"15.84"	"30.90"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"6924364535809876668"	"False"	"High"	"IsMasterProtein"	"SMED3_DN443_c0_g1_i7.p1"	"SMED3_DN443_c0_g1_i7.p1"	"0.000"	"319.887"	"39"	"63"	"528"	"51"	"1958"	"224.8"	"5.68"	"6277"	"63"	""	""	""	""	""	"SMED3_DN443_c0_g1_i7.p1"	""	""	""	""	"0"	"1.933"	"13.164"	"0.857"	"6.811"	"0.444"	"0.065"	"0.858418903901391"	"0.00658500020200597"	"0.999999999971976"	"0.0279380886613007"	"0.999999999979186"	"0.00722747670027598"	"48616198.0421096"	"93960074.0087201"	"639980809.464018"	"41677603.4256161"	"39.86"	"42.30"	"34.81"	"49.83"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"8055563030052725795"	"False"	"High"	"IsMasterProtein"	"SMED3_DN3573_c0_g1_i7.p1"	"SMED3_DN3573_c0_g1_i7.p1"	"0.000"	"284.532"	"72"	"35"	"726"	"34"	"634"	"71.3"	"7.40"	"9156"	"35"	""	""	""	""	""	"SMED3_DN3573_c0_g1_i7.p1"	""	""	""	""	"0"	"12.984"	"1.640"	"7.662"	"0.126"	"0.590"	"4.672"	"0.896476380534973"	"0.999999997659797"	"0.999999999971976"	"0.797923000701459"	"0.999999999979186"	"0.999999999609416"	"34593776.8771749"	"449171418.347242"	"56735922.3310822"	"265068112.98705"	"149.79"	"48.64"	"115.50"	"46.70"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"5571279767307239219"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5250_c1_g1_i1.p1"	"SMED3_DN5250_c1_g1_i1.p1"	"0.000"	"272.425"	"72"	"25"	"734"	"14"	"524"	"56.8"	"5.78"	"7995"	"25"	""	""	""	""	""	"SMED3_DN5250_c1_g1_i1.p1"	""	""	""	""	"0"	"3.057"	"0.020"	"1.248"	"0.010"	"0.408"	"61.005"	"0.999999960808529"	"0.246315811486599"	"0.999999999971976"	"0.0840652461043691"	"0.999999999979186"	"0.180363320304211"	"182308071.204365"	"557365450.256832"	"3728096.10209242"	"227434272.736016"	"72.13"	"4.28"	"161.90"	"26.76"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
